filepath,label,class_idx,split
datasets/generic_negatives/generic_0032.jpg,INVALID_INPUT,0,train
C:/Users/Ankit/.cache/kagglehub/datasets/aryashah2k/breast-ultrasound-images-dataset/versions/1/Dataset_BUSI_with_GT/benign/benign (109).png,VALID_MAMMOGRAM,1,train
datasets/generic_negatives/generic_0303.jpg,INVALID_INPUT,0,train
C:/Users/Ankit/.cache/kagglehub/datasets/aryashah2k/breast-ultrasound-images-dataset/versions/1/Dataset_BUSI_with_GT/benign/benign (28).png,VALID_MAMMOGRAM,1,train
C:/Users/Ankit/.cache/kagglehub/datasets/aryashah2k/breast-ultrasound-images-dataset/versions/1/Dataset_BUSI_with_GT/benign/benign (37).png,VALID_MAMMOGRAM,1,train
datasets/generic_negatives/generic_0195.jpg,INVALID_INPUT,0,train
datasets/generic_negatives/generic_0252.jpg,INVALID_INPUT,0,train
C:/Users/Ankit/.cache/kagglehub/datasets/aryashah2k/breast-ultrasound-images-dataset/versions/1/Dataset_BUSI_with_GT/benign/benign (292).png,VALID_MAMMOGRAM,1,train
C:/Users/Ankit/.cache/kagglehub/datasets/aryashah2k/breast-ultrasound-images-dataset/versions/1/Dataset_BUSI_with_GT/normal/normal (6).png,VALID_MAMMOGRAM,1,train
datasets/generic_negatives/generic_0155.jpg,INVALID_INPUT,0,train
C:/Users/Ankit/.cache/kagglehub/datasets/aryashah2k/breast-ultrasound-images-dataset/versions/1/Dataset_BUSI_with_GT/benign/benign (368).png,VALID_MAMMOGRAM,1,train
C:/Users/Ankit/.cache/kagglehub/datasets/aryashah2k/breast-ultrasound-images-dataset/versions/1/Dataset_BUSI_with_GT/malignant/malignant (129).png,VALID_MAMMOGRAM,1,train
C:/Users/Ankit/.cache/kagglehub/datasets/aryashah2k/breast-ultrasound-images-dataset/versions/1/Dataset_BUSI_with_GT/benign/benign (11).png,VALID_MAMMOGRAM,1,train
C:/Users/Ankit/.cache/kagglehub/datasets/aryashah2k/breast-ultrasound-images-dataset/versions/1/Dataset_BUSI_with_GT/benign/benign (97).png,VALID_MAMMOGRAM,1,train
datasets/generic_negatives/generic_0255.jpg,INVALID_INPUT,0,train
C:/Users/Ankit/.cache/kagglehub/datasets/aryashah2k/breast-ultrasound-images-dataset/versions/1/Dataset_BUSI_with_GT/normal/normal (120).png,VALID_MAMMOGRAM,1,train
C:/Users/Ankit/.cache/kagglehub/datasets/aryashah2k/breast-ultrasound-images-dataset/versions/1/Dataset_BUSI_with_GT/benign/benign (369).png,VALID_MAMMOGRAM,1,train
datasets/generic_negatives/generic_0164.jpg,INVALID_INPUT,0,train
datasets/generic_negatives/generic_0229.jpg,INVALID_INPUT,0,train
datasets/generic_negatives/generic_0285.jpg,INVALID_INPUT,0,train
C:/Users/Ankit/.cache/kagglehub/datasets/aryashah2k/breast-ultrasound-images-dataset/versions/1/Dataset_BUSI_with_GT/malignant/malignant (189).png,VALID_MAMMOGRAM,1,train
C:/Users/Ankit/.cache/kagglehub/datasets/aryashah2k/breast-ultrasound-images-dataset/versions/1/Dataset_BUSI_with_GT/malignant/malignant (19).png,VALID_MAMMOGRAM,1,train
C:/Users/Ankit/.cache/kagglehub/datasets/aryashah2k/breast-ultrasound-images-dataset/versions/1/Dataset_BUSI_with_GT/malignant/malignant (72).png,VALID_MAMMOGRAM,1,train
