filepath,label,split
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/31-rotated1-rotated2.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/89-rotated3-rotated2.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/28-rotated3-rotated1.jpg,FRACTURED,test
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/23-rotated2-rotated1-rotated1.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/113-rotated2-rotated2-rotated1.jpg,FRACTURED,test
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/102-rotated2-rotated1-rotated1.jpg,FRACTURED,val
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/not fractured/27-rotated1-rotated2-rotated2-rotated1.jpg,NOT_FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/93-rotated3-rotated1-rotated2.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/107-rotated1-rotated3.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/90-rotated1-rotated1.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/not fractured/70-rotated3-rotated2-rotated3.jpg,NOT_FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/not fractured/56-rotated2-rotated1.jpg,NOT_FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/not fractured/45-rotated2-rotated3.jpg,NOT_FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/56-rotated3-rotated2.jpg,FRACTURED,val
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/76-rotated1-rotated2.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/104-rotated3-rotated1-rotated2.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/not fractured/35-rotated1-rotated1-rotated2.jpg,NOT_FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/val/fractured/6-rotated3.jpg,FRACTURED,test
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/108-rotated2-rotated3-rotated2.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/not fractured/32-rotated3-rotated1-rotated3.jpg,NOT_FRACTURED,test
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/14-rotated1-rotated1-rotated2.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/not fractured/56-rotated1-rotated2-rotated3-rotated1.jpg,NOT_FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/not fractured/37-rotated2-rotated3-rotated2.jpg,NOT_FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/78-rotated3-rotated3-rotated1.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/not fractured/19-rotated3-rotated2.jpg,NOT_FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/not fractured/51-rotated1.jpg,NOT_FRACTURED,test
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/34-rotated2-rotated1.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/10-rotated2-rotated2-rotated2.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/22-rotated1-rotated1-rotated3.jpg,FRACTURED,test
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/115-rotated1-rotated1-rotated3.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/27-rotated3-rotated2.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/not fractured/39-rotated3-rotated3-rotated2.jpg,NOT_FRACTURED,val
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/67-rotated1-rotated2-rotated3.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/not fractured/51-rotated1-rotated3-rotated1-rotated1.jpg,NOT_FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/76-rotated1-rotated2-rotated1.jpg,FRACTURED,val
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/61-rotated2-rotated2-rotated3.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/59-rotated3-rotated3-rotated3.jpg,FRACTURED,test
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/86-rotated3-rotated3-rotated2.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/41-rotated1-rotated1-rotated2.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/not fractured/38-rotated2-rotated1.jpg,NOT_FRACTURED,test
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/50-rotated3-rotated3-rotated2.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/fractured/110-rotated1-rotated3-rotated1.jpg,FRACTURED,train
C:/Users/Ankit/.cache/kagglehub/datasets/devbatrax/fracture-detection-using-x-ray-images/versions/1/data/train/not fractured/30-rotated2-rotated1-rotated3-rotated1.jpg,NOT_FRACTURED,train
